id,object,created,owned_by,providers,architecture.input_modalities,architecture.output_modalities
moonshotai/Kimi-K2.5,model,1767247563,moonshotai,"[{'provider': 'novita', 'status': 'live', 'context_length': 262144, 'pricing': {'input': 0.6, 'output': 3}, 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'together', 'status': 'live', 'context_length': 262144, 'pricing': {'input': 0.5, 'output': 2.8}, 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'fireworks-ai', 'status': 'live', 'context_length': 262144, 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': False}]","['text', 'image']",['text']
Qwen/Qwen3-Coder-Next,model,1769785698,Qwen,"[{'provider': 'novita', 'status': 'live', 'context_length': 262144, 'pricing': {'input': 0.2, 'output': 1.5}, 'supports_tools': False, 'supports_structured_output': True, 'is_model_author': False}]",['text'],['text']
zai-org/GLM-4.7-Flash,model,1768804090,zai-org,"[{'provider': 'novita', 'status': 'live', 'context_length': 200000, 'pricing': {'input': 0.07, 'output': 0.4}, 'supports_tools': True, 'supports_structured_output': True, 'is_model_author': False}, {'provider': 'zai-org', 'status': 'live', 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': True}]",['text'],['text']
MiniMaxAI/MiniMax-M2.1,model,1766209505,MiniMaxAI,"[{'provider': 'novita', 'status': 'live', 'context_length': 204800, 'pricing': {'input': 0.3, 'output': 1.2}, 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': False}]",['text'],['text']
Qwen/Qwen3-Coder-Next-FP8,model,1769948561,Qwen,"[{'provider': 'together', 'status': 'live', 'context_length': 262144, 'pricing': {'input': 0.5, 'output': 1.2}, 'supports_tools': True, 'supports_structured_output': True, 'is_model_author': False}]",['text'],['text']
meta-llama/Llama-3.1-8B-Instruct,model,1721292960,meta-llama,"[{'provider': 'novita', 'status': 'live', 'context_length': 16384, 'pricing': {'input': 0.02, 'output': 0.05}, 'supports_tools': False, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'cerebras', 'status': 'live', 'pricing': {'input': 0.1, 'output': 0.1}, 'supports_tools': False, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'sambanova', 'status': 'live', 'context_length': 16384, 'pricing': {'input': 0.1, 'output': 0.2}, 'supports_tools': True, 'supports_structured_output': True, 'is_model_author': False}, {'provider': 'nscale', 'status': 'live', 'context_length': 131072, 'pricing': {'input': 0.06, 'output': 0.06}, 'supports_tools': False, 'supports_structured_output': True, 'is_model_author': False}, {'provider': 'featherless-ai', 'status': 'live', 'is_model_author': False}, {'provider': 'scaleway', 'status': 'live', 'supports_tools': True, 'supports_structured_output': True, 'is_model_author': False}, {'provider': 'ovhcloud', 'status': 'live', 'context_length': 131072, 'pricing': {'input': 0.11, 'output': 0.11}, 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': False}]",['text'],['text']
openai/gpt-oss-120b,model,1754346786,openai,"[{'provider': 'groq', 'status': 'live', 'context_length': 131072, 'pricing': {'input': 0.15, 'output': 0.75}, 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'novita', 'status': 'live', 'context_length': 131072, 'pricing': {'input': 0.05, 'output': 0.25}, 'supports_tools': True, 'supports_structured_output': True, 'is_model_author': False}, {'provider': 'cerebras', 'status': 'live', 'pricing': {'input': 0.25, 'output': 0.69}, 'supports_tools': False, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'sambanova', 'status': 'live', 'context_length': 131072, 'pricing': {'input': 0.22, 'output': 0.59}, 'supports_tools': True, 'supports_structured_output': True, 'is_model_author': False}, {'provider': 'nscale', 'status': 'live', 'context_length': 131072, 'pricing': {'input': 0.1, 'output': 0.4}, 'supports_tools': True, 'supports_structured_output': True, 'is_model_author': False}, {'provider': 'hyperbolic', 'status': 'live', 'context_length': 131072, 'pricing': {'input': 0.3, 'output': 0.3}, 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'together', 'status': 'live', 'context_length': 131072, 'pricing': {'input': 0.15, 'output': 0.6}, 'supports_tools': True, 'supports_structured_output': True, 'is_model_author': False}, {'provider': 'fireworks-ai', 'status': 'live', 'context_length': 131072, 'pricing': {'input': 0.15, 'output': 0.6}, 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'scaleway', 'status': 'live', 'supports_tools': True, 'supports_structured_output': True, 'is_model_author': False}, {'provider': 'ovhcloud', 'status': 'live', 'context_length': 131072, 'pricing': {'input': 0.09, 'output': 0.47}, 'supports_tools': True, 'supports_structured_output': True, 'is_model_author': False}]",['text'],['text']
zai-org/GLM-4.7,model,1766389552,zai-org,"[{'provider': 'novita', 'status': 'live', 'context_length': 204800, 'pricing': {'input': 0.6, 'output': 2.2}, 'supports_tools': True, 'supports_structured_output': True, 'is_model_author': False}, {'provider': 'cerebras', 'status': 'live', 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'zai-org', 'status': 'live', 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': True}]",['text'],['text']
openai/gpt-oss-20b,model,1754346809,openai,"[{'provider': 'groq', 'status': 'live', 'context_length': 131072, 'pricing': {'input': 0.1, 'output': 0.5}, 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'novita', 'status': 'live', 'context_length': 131072, 'pricing': {'input': 0.04, 'output': 0.15}, 'supports_tools': False, 'supports_structured_output': True, 'is_model_author': False}, {'provider': 'nscale', 'status': 'live', 'context_length': 131072, 'pricing': {'input': 0.05, 'output': 0.2}, 'supports_tools': True, 'supports_structured_output': True, 'is_model_author': False}, {'provider': 'hyperbolic', 'status': 'live', 'context_length': 131072, 'pricing': {'input': 0.1, 'output': 0.1}, 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'together', 'status': 'live', 'context_length': 131072, 'pricing': {'input': 0.05, 'output': 0.2}, 'supports_tools': True, 'supports_structured_output': True, 'is_model_author': False}, {'provider': 'fireworks-ai', 'status': 'live', 'context_length': 131072, 'pricing': {'input': 0.05, 'output': 0.2}, 'supports_tools': True, 'supports_structured_output': False, 'is_model_author': False}, {'provider': 'ovhcloud', 'status': 'live', 'context_length': 131072, 'pricing': {'input': 0.05, 'output': 0.18}, 'supports_tools': True, 'supports_structured_output': True, 'is_model_author': False}]",['text'],['text']
Qwen/Qwen3-VL-8B-Instruct,model,1760167419,Qwen,"[{'provider': 'novita', 'status': 'live', 'context_length': 131072, 'pricing': {'input': 0.08, 'output': 0.5}, 'supports_tools': True, 'supports_structured_output': True, 'is_model_author': False}]","['text', 'image']",['text']
